id,order_id,customer_email,product_name,category,product_price,sku,supplier_name,return_reason,days_since_purchase,warehouse_location,repair_cost,damage_level,salvage_value_percent,resale_value,holding_cost,transport_cost,net_recovery_value,recommended_action,routing_destination,fraud_risk,priority_level,reuse_possible,recycling_needed,waste_reduction
1,ORD-87994,cust7186@example.com,Face Cream SPF,Beauty,360.71,SKU-0001,HomeDecor Co,Screen cracked during delivery,2,Mumbai,9.31,Severe Damage,14.7,53.02,1.44,18.04,24.23,Liquidate,Liquidation Partner,High,High,False,True,High
2,ORD-42158,cust5693@example.com,Cookware Set,Home & Kitchen,1361.97,SKU-0002,AutoParts India,Received damaged packaging,11,Chennai,0,Minor Damage,75.3,1025.56,29.96,68.1,927.5,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
3,ORD-38916,cust3157@example.com,Laptop Backpack,Electronics,1461.45,SKU-0003,HomeDecor Co,Minor scratch on the surface,16,Surat,0,Minor Damage,74.6,1090.24,46.77,73.07,970.4,Repack and Discount,Discount Inventory Zone,Low,Medium,True,False,Medium
4,ORD-47296,cust8112@example.com,Office Chair,Furniture,9157.68,SKU-0004,AutoParts India,Product stopped working entirely,20,Bangalore,47.53,Severe Damage,12.0,1098.92,366.31,457.88,227.2,Liquidate,Liquidation Partner,Low,Low,False,True,High
5,ORD-72749,cust3705@example.com,Coffee Table,Furniture,5335.16,SKU-0005,AutoParts India,"Changed my mind, don't need it",16,Delhi,0,No Damage,87.6,4673.6,170.73,266.76,4236.11,Restock,Main Warehouse,Low,High,True,False,Low
6,ORD-88601,cust7200@example.com,Car Seat Cover,Automotive,2414.97,SKU-0006,AutoParts India,Wrong color delivered,29,Mumbai,0,No Damage,85.7,2069.63,140.07,120.75,1808.81,Restock,Main Warehouse,Medium,High,True,False,Low
7,ORD-52984,cust8198@example.com,Cotton T-Shirt,Clothing,543.97,SKU-0007,AutoParts India,"Dead on arrival, never worked",13,Kolkata,8.17,Severe Damage,13.1,71.26,14.14,27.2,21.75,Liquidate,Liquidation Partner,Low,Low,False,True,High
8,ORD-49117,cust4971@example.com,Board Game,Toys,675.63,SKU-0008,GlobalImports,Battery drains in one hour,25,Mumbai,100.99,Moderate Damage,50.2,339.17,33.78,33.78,170.62,Refurbish,Repair Center,Medium,Medium,True,False,Medium
9,ORD-77800,cust8843@example.com,Cookware Set,Home & Kitchen,1434.95,SKU-0009,AutoParts India,"Product is defective, stopped working after 2 days",29,Delhi,353.57,Moderate Damage,49.6,711.74,83.23,71.75,203.19,Refurbish,Repair Center,Low,Low,True,False,Medium
10,ORD-55715,cust7291@example.com,Cookware Set,Home & Kitchen,1278.96,SKU-0010,AutoParts India,Wrong color delivered,1,Pune,0,No Damage,89.8,1148.51,2.56,63.95,1082.0,Restock,Main Warehouse,Low,High,True,False,Low
